caldt,vwretd,vwretx,ewretd,ewretx,totval,totcnt,usdval,usdcnt,spindx,sprtrn
1925-12-31,,,,,15236829.50,89,,,,
1926-01-02,0.004297,0.004297,0.002941,0.002941,15319686.50,89,15236829.50,79,,
1926-01-04,-0.001357,-0.001357,0.001036,0.001036,15298901.20,89,15319686.50,80,,
1926-01-05,-0.004603,-0.004653,-0.005856,-0.006063,15227711.50,89,15298901.20,80,,
1926-01-06,0.000537,0.000537,0.000888,0.000888,15235889.20,89,15227711.50,80,,
1926-01-07,0.003907,0.003907,0.004258,0.004258,15295415.10,89,15235889.20,80,,
1926-01-08,-0.002693,-0.003221,-0.003866,-0.004697,15246145.80,89,15295415.10,80,,
1926-01-09,0.002218,0.002218,0.002139,0.002139,15090059.60,89,15056670.60,79,,
1926-01-11,-0.006515,-0.006608,-0.004707,-0.004852,15179515.60,89,15090059.60,79,,
1926-01-12,-0.001597,-0.001597,-0.003337,-0.003337,15155273.80,89,15179515.60,80,,
1926-01-13,0.003465,0.003465,0.006940,0.006940,15207784.90,89,15155273.80,80,,
1926-01-14,-0.005732,-0.005732,-0.004816,-0.004816,15120621.10,89,15207784.90,80,,
1926-01-15,-0.012153,-0.012979,-0.013974,-0.014946,14924374.10,89,15120621.10,80,,
1926-01-16,-0.000511,-0.000511,0.000968,0.000968,14967051.10,89,14924374.10,80,,
1926-01-18,0.004508,0.004508,0.005104,0.005104,14983984.40,89,14916741.10,80,,
1926-01-19,-0.011540,-0.011540,-0.011882,-0.011882,14811064.50,89,14983984.40,80,,
1926-01-20,0.006186,0.006186,0.006479,0.006479,14902689.80,89,14811064.50,80,,
1926-01-21,-0.008730,-0.008789,-0.009092,-0.009218,14861463.00,89,14902689.80,80,,
1926-01-22,0.006297,0.006297,0.005857,0.005857,14938221.90,89,14844743.00,80,,
1926-01-23,0.004987,0.004987,0.005345,0.005345,14656873.90,89,14584141.90,78,,
1926-01-25,0.005291,0.005260,0.007310,0.007101,15090535.00,89,14656873.90,78,,
1926-01-26,-0.005960,-0.005960,-0.006531,-0.006531,15000600.10,89,15090535.00,81,,
1926-01-27,0.006636,0.006636,0.007110,0.007110,15083144.90,89,14983715.10,80,,
1926-01-28,0.003137,0.003137,0.005714,0.005714,15147018.90,89,15083144.90,80,,
1926-01-29,0.009238,0.008616,0.008093,0.007391,15277525.90,89,15147018.90,81,,
1926-01-30,0.000009,0.000009,0.001389,0.001389,15277664.00,89,15277525.90,81,,
1926-02-01,-0.004103,-0.004593,-0.003692,-0.003865,15257380.10,89,15277664.00,81,,
1926-02-02,0.006010,0.006010,0.006043,0.006043,15298903.00,89,15207500.10,81,,
1926-02-03,0.004727,0.004727,0.003732,0.003732,15371227.00,89,15298903.00,81,,
1926-02-04,0.004780,0.004780,0.004917,0.004917,15444695.70,89,15371227.00,81,,
1926-02-05,-0.001882,-0.001882,-0.000744,-0.000744,15425004.90,89,15444695.70,81,,
1926-02-06,-0.000083,-0.000083,0.000201,0.000201,15423724.80,89,15425004.90,81,,
1926-02-08,-0.005627,-0.005919,-0.004877,-0.005032,15332428.50,89,15423724.80,81,,
1926-02-09,0.003226,0.003226,0.003973,0.003973,15381888.40,89,15332428.50,81,,
1926-02-10,0.003489,0.003001,0.000502,0.000177,15428054.90,89,15381888.40,81,,
1926-02-11,0.001654,0.001557,-0.000216,-0.000388,15452080.50,89,15428054.90,81,,
1926-02-13,0.000201,0.000201,-0.002346,-0.002346,15455180.90,89,15452080.50,81,,
1926-02-15,-0.019985,-0.020015,-0.021348,-0.021458,15145851.00,89,15455180.90,81,,
1926-02-16,0.004441,0.004441,0.004775,0.004775,15213115.90,89,15145851.00,81,,
1926-02-17,0.006048,0.006048,0.005054,0.005054,15305130.80,89,15213115.90,81,,
1926-02-18,0.001275,0.001258,0.001229,0.001190,15324389.90,89,15305130.80,81,,
1926-02-19,0.000347,-0.000143,-0.001479,-0.001813,15322204.60,89,15324389.90,81,,
1926-02-20,-0.001093,-0.001093,-0.001656,-0.001656,15305459.00,89,15322204.60,81,,
1926-02-23,-0.009545,-0.010135,-0.011053,-0.011224,15155495.90,89,15305459.00,81,,
1926-02-24,-0.004227,-0.004227,-0.002297,-0.002297,15091426.10,89,15155495.90,81,,
1926-02-25,-0.012444,-0.012787,-0.012978,-0.013049,14898459.00,89,15091426.10,81,,
1926-02-26,-0.012005,-0.013788,-0.012488,-0.013419,14693045.20,89,14898459.00,81,,
1926-02-27,0.001351,0.001351,0.003932,0.003932,14712894.90,89,14693045.20,81,,
1926-03-01,-0.015197,-0.015683,-0.015585,-0.015987,14525876.50,89,14533686.90,80,,
1926-03-02,-0.024114,-0.024114,-0.032163,-0.032163,14352319.40,89,14525876.50,81,,
1926-03-03,-0.016808,-0.017186,-0.016346,-0.016760,14105655.60,89,14352319.40,82,,
1926-03-04,0.042271,0.042271,0.049159,0.049159,14701937.10,89,14105655.60,82,,
1926-03-05,0.003787,0.003059,0.007290,0.006677,14746916.00,89,14701937.10,82,,
1926-03-06,-0.004807,-0.004807,-0.005338,-0.005338,14605991.50,89,14676541.00,81,,
1926-03-08,-0.004643,-0.004643,-0.008828,-0.008828,14608554.50,89,14605991.50,81,,
1926-03-09,0.005346,0.004917,0.008018,0.007736,14680387.50,89,14608554.50,82,,
1926-03-10,0.009818,0.009818,0.011496,0.011496,14824514.00,89,14680387.50,82,,
1926-03-11,0.006455,0.006398,0.005207,0.005054,14919365.60,89,14824514.00,82,,
1926-03-12,0.003321,0.003032,0.002558,0.002072,14964596.60,89,14919365.60,82,,
1926-03-13,-0.017525,-0.017525,-0.018370,-0.018370,14702345.90,89,14964596.60,82,,
1926-03-15,0.003143,0.002884,0.000445,-0.000231,14744748.60,89,14702345.90,82,,
1926-03-16,-0.003979,-0.003979,-0.003515,-0.003515,14686072.20,89,14744748.60,82,,
1926-03-17,-0.004902,-0.004937,-0.007303,-0.007524,14613571.80,89,14686072.20,82,,
1926-03-18,-0.012170,-0.012573,-0.013518,-0.013865,14429830.10,89,14613571.80,82,,
1926-03-19,-0.005740,-0.005852,-0.005460,-0.005651,14345388.80,89,14429830.10,82,,
1926-03-20,0.001846,0.001846,0.002119,0.002119,14371874.50,89,14345388.80,82,,
1926-03-22,0.008015,0.008015,0.010166,0.010166,14487066.10,89,14371874.50,82,,
1926-03-23,-0.006485,-0.006485,-0.006306,-0.006306,14393115.40,89,14487066.10,82,,
1926-03-24,-0.016472,-0.016472,-0.017180,-0.017180,14156024.90,89,14393115.40,82,,
1926-03-25,-0.001399,-0.001540,-0.001967,-0.002144,14134227.20,89,14156024.90,82,,
1926-03-26,0.002685,0.002169,0.001975,0.001646,14164882.50,89,14134227.20,82,,
1926-03-27,-0.010038,-0.010038,-0.011341,-0.011341,13887337.10,89,14028156.50,81,,
1926-03-29,-0.022317,-0.022425,-0.021593,-0.021750,13711143.10,89,13887337.10,81,,
1926-03-30,-0.012175,-0.012175,-0.015864,-0.015864,13544208.40,89,13711143.10,82,,
1926-03-31,0.034989,0.034544,0.036621,0.035613,14012079.20,89,13544208.40,82,,
1926-04-01,0.003967,0.003303,0.007153,0.006025,14042667.20,89,13996431.80,81,,
1926-04-03,-0.000236,-0.000236,0.000804,0.000804,13745034.80,89,13732567.20,79,,
1926-04-05,0.005100,0.005100,0.008981,0.008981,14127728.80,89,13745034.80,80,,
1926-04-06,0.009555,0.009555,0.009664,0.009664,14262719.40,89,14127728.80,82,,
1926-04-07,-0.004164,-0.004164,-0.003976,-0.003976,13835258.20,89,13893112.40,81,,
1926-04-08,-0.004319,-0.004319,-0.005336,-0.005336,14129148.10,89,13819225.80,80,,
1926-04-09,0.000677,0.000405,0.000624,-0.000049,14150859.90,89,14129148.10,81,,
1926-04-10,-0.003047,-0.003047,-0.003159,-0.003159,14107746.20,89,14150859.90,82,,
1926-04-12,-0.019107,-0.019107,-0.021974,-0.021974,13838183.40,89,14107746.20,82,,
1926-04-13,0.010267,0.010166,0.014083,0.013934,13962952.40,89,13822439.60,81,,
1926-04-14,-0.012908,-0.013064,-0.015198,-0.015306,13796051.20,89,13962952.40,81,,
1926-04-15,0.002818,0.002628,0.003647,0.003480,13816751.40,89,13780541.20,81,,
1926-04-16,0.000042,-0.000336,0.001018,0.000436,13812112.90,89,13816751.40,81,,
1926-04-17,0.002807,0.002807,0.001425,0.001425,13866277.60,89,13812112.90,81,,
1926-04-19,0.000777,0.000777,-0.001992,-0.001992,13877050.70,89,13866277.60,82,,
1926-04-20,0.004656,0.004656,0.005847,0.005847,13941661.10,89,13877050.70,82,,
1926-04-21,0.015531,0.015468,0.016859,0.016700,14157306.10,89,13941661.10,82,,
1926-04-22,0.009272,0.009272,0.008270,0.008270,14288573.80,89,14157306.10,82,,
1926-04-23,0.011533,0.011501,0.010966,0.010747,14452911.90,89,14288573.80,82,,
1926-04-24,0.006770,0.006770,0.004462,0.004462,14535690.20,89,14437951.90,81,,
1926-04-26,-0.006923,-0.006923,-0.009655,-0.009655,14450207.10,89,14535690.20,81,,
1926-04-27,-0.001158,-0.001158,-0.000485,-0.000485,14433474.60,89,14450207.10,82,,
1926-04-28,0.006942,0.006942,0.004714,0.004714,14533673.50,89,14433474.60,82,,
1926-04-29,0.001811,0.001364,0.000829,0.000634,14553498.40,89,14533673.50,82,,
1926-04-30,-0.002338,-0.003643,-0.005328,-0.006253,14500482.20,89,14553498.40,82,,
1926-05-01,-0.001858,-0.001858,-0.001369,-0.001369,14210131.00,89,14236582.20,81,,
1926-05-03,-0.016543,-0.016543,-0.017603,-0.017603,14221501.50,89,14194524.80,80,,
1926-05-04,0.004776,0.004776,0.004074,0.004074,14304389.40,89,14221501.50,81,,
1926-05-05,0.001722,0.001722,0.001663,0.001663,14314042.10,89,14289429.40,81,,
1926-05-06,0.002038,0.002038,0.001788,0.001788,14343208.20,89,14314042.10,81,,
1926-05-07,-0.008789,-0.008941,-0.009645,-0.009826,14230118.10,89,14343208.20,81,,
1926-05-08,-0.000664,-0.000664,-0.001417,-0.001417,14220665.90,89,14230118.10,82,,
1926-05-10,-0.004460,-0.004622,-0.003431,-0.003647,14139482.60,89,14205568.40,81,,
1926-05-11,0.000599,0.000263,0.001736,0.001505,14143196.10,89,14139482.60,81,,
1926-05-12,0.003519,0.003519,0.004250,0.004250,14208141.40,89,14143196.10,81,,
1926-05-13,-0.002317,-0.002317,-0.001270,-0.001270,14262560.80,89,14208141.40,82,,
1926-05-14,-0.001665,-0.001858,-0.002655,-0.003095,14236068.90,89,14262560.80,83,,
1926-05-15,-0.002386,-0.002386,-0.002984,-0.002984,14202102.90,89,14236068.90,83,,
1926-05-17,-0.000567,-0.000567,-0.001217,-0.001217,14194046.80,89,14202102.90,83,,
1926-05-18,-0.001398,-0.001398,-0.002933,-0.002933,14174200.40,89,14194046.80,83,,
1926-05-19,-0.001767,-0.001852,-0.002811,-0.003062,14132112.60,89,14158332.90,82,,
1926-05-20,0.009557,0.009111,0.010278,0.010165,14276522.00,89,14132112.60,82,,
1926-05-21,0.007051,0.007051,0.009260,0.009260,14361427.00,89,14260874.50,82,,
1926-05-22,0.004523,0.004523,0.003926,0.003926,14327098.40,89,14247041.50,81,,
1926-05-24,0.002977,0.000904,0.004169,0.003615,14438796.10,89,14311478.40,81,,
1926-05-25,0.004020,0.004020,0.004006,0.004006,14496839.40,89,14438796.10,82,,
1926-05-26,0.006062,0.006062,0.004086,0.004086,14600513.10,89,14496839.40,82,,
